FIPS,State,County,% Adults with Obesity,Food Environment Index,% Physically Inactive,% Excessive Drinking
01000,Alabama,,36,5.5,29,15
01001,Alabama,Autauga,33,6.7,31,14
01003,Alabama,Baldwin,30,7.8,25,19
01005,Alabama,Barbour,41,5.5,28,12
01007,Alabama,Bibb,37,7.6,33,15
01009,Alabama,Blount,33,7.9,33,16
01011,Alabama,Bullock,47,5.0,42,12
01013,Alabama,Butler,47,6.8,40,13
01015,Alabama,Calhoun,40,6.6,31,14
01017,Alabama,Chambers,42,6.7,29,14
01019,Alabama,Cherokee,38,7.7,30,16
01021,Alabama,Chilton,42,7.6,33,15
01023,Alabama,Choctaw,47,6.1,34,14
01025,Alabama,Clarke,36,5.7,41,14
01027,Alabama,Clay,37,7.5,34,16
01029,Alabama,Cleburne,34,7.2,26,16
01031,Alabama,Coffee,37,7.2,32,16
01033,Alabama,Colbert,37,7.0,35,16
01035,Alabama,Conecuh,42,5.8,43,13
01037,Alabama,Coosa,45,6.7,36,14
01039,Alabama,Covington,36,6.9,37,15
01041,Alabama,Crenshaw,35,6.0,34,14
01043,Alabama,Cullman,36,7.6,34,15
01045,Alabama,Dale,42,6.3,32,16
01047,Alabama,Dallas,42,5.3,33,12
01049,Alabama,DeKalb,30,7.3,33,13
01051,Alabama,Elmore,35,7.4,25,15
01053,Alabama,Escambia,37,6.3,34,15
01055,Alabama,Etowah,36,6.7,34,15
01057,Alabama,Fayette,38,7.1,30,15
01059,Alabama,Franklin,37,7.4,37,15
01061,Alabama,Geneva,41,7.0,41,15
01063,Alabama,Greene,38,3.8,24,10
01065,Alabama,Hale,45,6.3,32,12
01067,Alabama,Henry,35,7.6,29,15
01069,Alabama,Houston,39,6.9,32,13
01071,Alabama,Jackson,36,7.1,34,15
01073,Alabama,Jefferson,35,6.6,29,17
01075,Alabama,Lamar,34,7.1,31,15
01077,Alabama,Lauderdale,32,7.4,27,16
01079,Alabama,Lawrence,33,7.4,30,15
01081,Alabama,Lee,31,6.7,20,17
01083,Alabama,Limestone,33,7.7,26,16
01085,Alabama,Lowndes,44,5.0,33,11
01087,Alabama,Macon,51,4.9,33,11
01089,Alabama,Madison,34,7.5,24,15
01091,Alabama,Marengo,45,5.7,33,13
01093,Alabama,Marion,38,7.0,33,15
01095,Alabama,Marshall,37,7.2,37,15
01097,Alabama,Mobile,38,6.6,29,17
01099,Alabama,Monroe,43,5.4,36,13
01101,Alabama,Montgomery,37,6.0,29,13
01103,Alabama,Morgan,36,7.5,27,14
01105,Alabama,Perry,47,5.1,36,11
01107,Alabama,Pickens,39,6.8,26,13
01109,Alabama,Pike,38,6.5,28,14
01111,Alabama,Randolph,34,7.1,34,14
01113,Alabama,Russell,39,6.7,32,14
01115,Alabama,St. Clair,37,7.9,30,15
01117,Alabama,Shelby,38,8.3,24,18
01119,Alabama,Sumter,43,5.4,33,11
01121,Alabama,Talladega,39,6.8,37,13
01123,Alabama,Tallapoosa,35,7.0,27,14
01125,Alabama,Tuscaloosa,36,7.3,28,15
01127,Alabama,Walker,39,6.8,32,14
01129,Alabama,Washington,32,6.7,34,14
01131,Alabama,Wilcox,50,3.2,35,11
01133,Alabama,Winston,36,7.2,36,16
02000,Alaska,,32,6.4,19,18
02013,Alaska,Aleutians East,52,5.4,27,15
02016,Alaska,Aleutians West,42,7.8,27,17
02020,Alaska,Anchorage,30,8.1,17,18
02050,Alaska,Bethel,34,2.9,28,17
02060,Alaska,Bristol Bay,43,6.8,28,21
02068,Alaska,Denali,23,5.8,21,20
02070,Alaska,Dillingham,31,4.8,26,19
02090,Alaska,Fairbanks North Star,31,7.9,18,19
02100,Alaska,Haines,29,7.5,19,22
02105,Alaska,Hoonah-Angoon,30,4.3,17,21
02110,Alaska,Juneau,26,8.2,18,21
02122,Alaska,Kenai Peninsula,33,7.6,21,20
02130,Alaska,Ketchikan Gateway,39,8.1,20,19
02150,Alaska,Kodiak Island,28,8.0,25,19
02158,Alaska,Kusilvak,23,1.6,27,15
02164,Alaska,Lake and Peninsula,38,3.5,27,18
02170,Alaska,Matanuska-Susitna,35,7.7,20,19
02180,Alaska,Nome,40,3.7,20,18
02185,Alaska,North Slope,44,7.1,33,21
02188,Alaska,Northwest Arctic,45,3.6,24,17
02195,Alaska,Petersburg,26,8.0,23,22
02198,Alaska,Prince of Wales-Hyder,40,6.0,19,20
02220,Alaska,Sitka,26,8.3,18,19
02230,Alaska,Skagway,26,8.2,18,22
02240,Alaska,Southeast Fairbanks,33,6.2,19,20
02261,Alaska,Valdez-Cordova,34,7.1,22,20
02275,Alaska,Wrangell,36,7.6,28,19
02282,Alaska,Yakutat,38,6.2,32,19
02290,Alaska,Yukon-Koyukuk,31,2.1,25,19
