fips,state,area_name,21_child_pov,20_child_pov,decrease2021,change2021,19_child_pov,decrease1921,change1921
1000,Alabama,,22,24,1,2,,-1,-24
1001,Alabama,Autauga,16,19,1,3,19,0,0
1003,Alabama,Baldwin,14,14,0,0,15,1,1
1005,Alabama,Barbour,41,44,1,3,50,1,6
1007,Alabama,Bibb,26,28,1,2,27,-1,-1
1009,Alabama,Blount,21,18,-1,-3,19,1,1
1011,Alabama,Bullock,40,68,1,28,48,-1,-20
1013,Alabama,Butler,35,36,1,1,33,-1,-3
1015,Alabama,Calhoun,25,27,1,2,24,-1,-3
1017,Alabama,Chambers,30,31,1,1,30,-1,-1
1019,Alabama,Cherokee,23,25,1,2,25,0,0
1021,Alabama,Chilton,23,23,0,0,23,0,0
1023,Alabama,Choctaw,30,32,1,2,35,1,3
1025,Alabama,Clarke,29,32,1,3,32,0,0
1027,Alabama,Clay,26,26,0,0,26,0,0
1029,Alabama,Cleburne,18,23,1,5,22,-1,-1
1031,Alabama,Coffee,22,22,0,0,25,1,3
1033,Alabama,Colbert,19,21,1,2,22,1,1
1035,Alabama,Conecuh,35,40,1,5,43,1,3
1037,Alabama,Coosa,28,30,1,2,28,-1,-2
1039,Alabama,Covington,27,30,1,3,26,-1,-4
1041,Alabama,Crenshaw,25,31,1,6,29,-1,-2
1043,Alabama,Cullman,17,20,1,3,19,-1,-1
1045,Alabama,Dale,28,24,-1,-4,26,1,2
1047,Alabama,Dallas,41,48,1,7,43,-1,-5
1049,Alabama,DeKalb,29,30,1,1,28,-1,-2
1051,Alabama,Elmore,18,16,-1,-2,17,1,1
1053,Alabama,Escambia,27,33,1,6,34,1,1
1055,Alabama,Etowah,27,29,1,2,29,0,0
1057,Alabama,Fayette,23,37,1,14,28,-1,-9
1059,Alabama,Franklin,25,30,1,5,30,0,0
1061,Alabama,Geneva,21,30,1,9,34,1,4
1063,Alabama,Greene,46,44,-1,-2,49,1,5
1065,Alabama,Hale,31,36,1,5,36,0,0
1067,Alabama,Henry,29,27,-1,-2,28,1,1
1069,Alabama,Houston,28,22,-1,-6,27,1,5
1071,Alabama,Jackson,20,27,1,7,23,-1,-4
1073,Alabama,Jefferson,23,23,0,0,23,0,0
1075,Alabama,Lamar,22,25,1,3,26,1,1
1077,Alabama,Lauderdale,20,18,-1,-2,19,1,1
1079,Alabama,Lawrence,23,31,1,8,24,-1,-7
1081,Alabama,Lee,14,19,1,5,19,0,0
1083,Alabama,Limestone,16,16,0,0,17,1,1
1085,Alabama,Lowndes,36,40,1,4,40,0,0
1087,Alabama,Macon,39,40,1,1,45,1,5
1089,Alabama,Madison,17,17,0,0,18,1,1
1091,Alabama,Marengo,36,35,-1,-2,33,-1,-2
1093,Alabama,Marion,23,27,1,4,28,1,1
1095,Alabama,Marshall,22,28,1,6,31,1,3
1097,Alabama,Mobile,26,31,1,5,31,0,0
1099,Alabama,Monroe,31,32,1,1,34,1,2
1101,Alabama,Montgomery,23,31,1,8,34,1,3
1103,Alabama,Morgan,19,20,1,1,21,1,1
1105,Alabama,Perry,46,53,1,7,51,-1,-2
1107,Alabama,Pickens,34,31,-1,-3,31,0,0
1109,Alabama,Pike,30,31,1,1,38,1,7
1111,Alabama,Randolph,28,31,1,3,28,-1,-3
1113,Alabama,Russell,25,32,1,7,35,1,3
1115,Alabama,St. Clair,15,15,0,0,18,1,3
1117,Alabama,Shelby,8,9,1,1,9,0,0
1119,Alabama,Sumter,45,48,1,3,46,-1,-2
1121,Alabama,Talladega,25,26,1,1,28,1,2
1123,Alabama,Tallapoosa,26,31,1,5,28,-1,-3
1125,Alabama,Tuscaloosa,20,21,1,1,20,-1,-1
1127,Alabama,Walker,24,25,1,1,23,-1,-2
1129,Alabama,Washington,28,26,-1,-2,28,1,2
1131,Alabama,Wilcox,49,51,1,2,47,-1,-4
1133,Alabama,Winston,23,28,1,5,30,1,2
2000,Alaska,,13,15,1,2,,-1,-15
2013,Alaska,Aleutians East,13,13,0,-1,12,-1,-1
2016,Alaska,Aleutians West,5,8,1,3,8,0,0
2020,Alaska,Anchorage,11,12,1,1,12,0,0
2050,Alaska,Bethel,32,41,1,9,36,-1,-5
2060,Alaska,Bristol Bay,11,15,1,4,19,1,4
2068,Alaska,Denali,9,7,-1,-2,9,1,2
2070,Alaska,Dillingham,27,32,1,5,31,-1,-1
2090,Alaska,Fairbanks North Star,8,9,1,1,9,0,0
2100,Alaska,Haines,14,16,1,2,20,1,4
2105,Alaska,Hoonah-Angoon,23,28,1,5,32,1,4
2110,Alaska,Juneau,8,9,1,1,11,1,2
2122,Alaska,Kenai Peninsula,13,15,1,2,14,-1,-1
2130,Alaska,Ketchikan Gateway,12,13,1,1,13,0,0
2150,Alaska,Kodiak Island,9,10,1,1,10,0,0
2158,Alaska,Kusilvak,36,47,1,11,45,-1,-2
